Country,SMR (United States of America),ISO3,Year,OVERALL SCORE
Sierra Leone,1.329969821,SLE,2021,32.7
Singapore,-0.125473711,SGP,2021,57.4
Slovakia,1.633817748,SVK,2021,54.4
Slovenia,0.926515136,SVN,2021,67.8
Somalia,9.521495676,SOM,2021,16
South Africa,4.189271339,ZAF,2021,45.8
South Korea,0.030351511,KOR,2021,65.4
South Sudan,2.163667141,SSD,2021,21.3
Spain,0.907359811,ESP,2021,60.9
Sri Lanka,0.319412502,LKA,2021,34.1
St Kitts & Nevis,0.335214295,KNA,2021,31.7
St Lucia,1.587268857,LCA,2021,34.7
St Vincent & The Grenadines,1.060589807,VCT,2021,33.5
Sudan,2.762055806,SDN,2021,28.3
Suriname,2.926929637,SUR,2021,35
Sweden,0.503741513,SWE,2021,64.9
Switzerland,0.517258746,CHE,2021,58.8
Syria,1.387447654,SYR,2021,16.7
São Tomé and Príncipe,1.28489983,STP,2021,26.6
Tajikistan,3.849120462,TJK,2021,29.3
Tanzania,3.262150614,TZA,2021,31.3
Thailand,0.192165624,THA,2021,68.2
Timor-Leste,1.047655278,TLS,2021,27.8
Togo,1.599861019,TGO,2021,27.8
Trinidad and Tobago,1.739833779,TTO,2021,36.8
Tunisia,3.581991968,TUN,2021,31.5
Turkey,1.407505387,TUR,2021,50
Turkmenistan,2.345584595,TKM,2021,31.9
Uganda,3.835290487,UGA,2021,36.5
Ukraine,1.357634814,UKR,2021,38.9
United Arab Emirates,1.335023404,ARE,2021,39.6
United Kingdom,0.753771291,GBR,2021,67.2
United States of America,1.181953221,USA,2021,75.9
Uruguay,0.975396246,URY,2021,40.3
Uzbekistan,1.911632197,UZB,2021,39
Vanuatu,0.133567709,VUT,2021,25.9
Venezuela,3.868109265,VEN,2021,20.9
Vietnam,0.448984149,VNM,2021,42.9
Yemen,3.318923401,YEM,2021,16.1
Zambia,8.862286619,ZMB,2021,26.5
Zimbabwe,7.540844561,ZWE,2021,32.4
eSwatini,14.30163489,SWZ,2021,29.3
